i,Title,Author,Publisher,Subjects,ISBN Valid,isbn_clean,cover_url
795,La sentence : roman /,"Erdrich, Louise, 1954-",Albin Michel,Roman fantastique; Roman américain; Racisme; Prisons; Fantômes,9782226474902; 2226474900,9782226474902,
796,Trust /,"Díaz, Hernán 1973-....",Éditions de l'Olivier,Roman,9782823617887; 2823617884,9782823617887,
797,Une façon d'aimer : roman /,"Barbéris, Dominique",Gallimard,,9782073032362; 2073032362,9782073032362,
798,Percy Jackson et les Olympiens /,"Riordan, Rick",Albin Michel jeunesse,Roman fantastique; Ouvrages pour la jeunesse,9782226207180; 222620718X; 9782226491268; 2226491260; 9782226207197; 2226207198; 9782226491275; 2226491279; 9782226207203; 2226207201; 9782226491282; 2226491287; 9782226195449; 2226195440; 9782226491299; 2226491295; 9782226209528; 2226209522; 978222649130,9782226207180,https://covers.openlibrary.org/b/isbn/9782226207197-M.jpg?default=false
799,Le gardien de Téhéran /,"Perez, Stéphanie 1973-....",Plon,,9782259315470; 225931547X,9782259315470,
800,Le rendez-vous de Thessalonique : roman /,"Verdan, Nicolas",B Campiche,,2882411537; 9782882411532,2882411537,
801,"Les naufragés du Wager : une histoire de naufrage, de mutinerie et de meurtres /","Grann, David",Editions du sous-sol,Roman historique américain,9782364684119; 2364684110,9782364684119,
802,La fin des nuages : manifeste poétique/,"Simonet, Mathieu",Julliard,,9782260055631; 226005563X,9782260055631,
803,Âme brisée : roman /,"Mizubayashi, Akira",Gallimard,,9782072840487; 2072840481,9782072840487,https://covers.openlibrary.org/b/isbn/2072840481-M.jpg?default=false
804,Déplacer la lune de son orbite /,"Marcolongo, Andrea",Stock,,9782234093751; 2234093759,9782234093751,
805,Tombola /,"Gindre, Jérémie",Zoé,,9782889072804; 2889072800,9782889072804,
806,La danseuse : roman /,"Modiano, Patrick",Gallimard,Roman français; Danse classique,9782073036742; 2073036740,9782073036742,
807,Le bonnet rouge /,"Roulet, Daniel de 1944-....",Héros-limite,Roman historique; Mercenaires suisses--France--18e siècle; Bonnet phrygien,9782889550807; 288955080X,9782889550807,
808,La chambre claire : note sur la photographie /,"Barthes, Roland, 1915-1980",Seuil; Gallimard,photographie--* esthétique; image--* sémiologie,,,
809,Les chutes : roman /,"Oates, Joyce Carol, 1938-",P Rey,,2848760346; 9782848760346,2848760346,https://covers.openlibrary.org/b/isbn/9782848760346-M.jpg?default=false
810,"Bacon, juillet 1964 /","Sebhan, Gilles",Editions du Rouergue,"Bacon, Francis--(peintre); Roman biographique",9782812624674; 2812624671,9782812624674,
811,La maison /,"Gracq, Julien, 1910-2007",Editions Corti,,2714313019; 9782714313010,2714313019,
812,Agnus dei : roman /,"Sansonnens, Julien",Editions de l'Aire,Roman psychologique; Roman suisse de langue française,9782889563449; 2889563448,9782889563449,
813,Les immuables /,"Chevalley, Guy",Editions d'autre part,Nouvelles suisses de langue française,9782940518760; 2940518769,9782940518760,
814,La maison de la faim /,"Marechera, Dambudzo",Editions Zoé,,9782889072743; 2889072746,9782889072743,
815,Je pense à votre destin : André Malraux et Josette Clotis - 1933-1944 ; suivi d'Inédits d'André Malraux /,"Theillou, Françoise 194.-....",Grasset,"Malraux, André; Clotis, Josette; Biographie",9782246833598; 2246833590,9782246833598,
816,L'allègement des vernis : roman /,"Saint Bris, Paul",Editions Philippe Rey,,2848769882; 9782848769882,2848769882,
817,Mon sous-marin jaune /,Jón Kalman Stefánsson,Christian Bourgois Editeur,Roman,9782267050288; 2267050285,9782267050288,
818,Le cimetière de la mer : roman /,"Nore, Aslak 1978-...",Le Bruit du monde,,9782493206237; 2493206231,9782493206237,
819,Le passant du Bowery /,"Ghys, Clément",Seuil,,9782021505177; 2021505170,9782021505177,
820,Bleu Bacon /,"Haenel, Yannick 1967-....",Stock,,9782234088504; 223408850X,9782234088504,
821,Les yeux de Mona : roman /,"Schlesser, Thomas 1977-....",Albin Michel,Roman français; Art; Roman,9782226487162; 2226487166,9782226487162,https://covers.openlibrary.org/b/isbn/9782226487162-M.jpg?default=false
822,Un endroit inconvénient /,"Littell, Jonathan 1967-....",Gallimard,Massacre de Babi Yar (1941); Massacres--Ukraine--2000-....; Shoah--Ukraine; Guerre russo-ukrainienne (2022-....),2073036848; 9782073036841,2073036848,
823,Liminal : les nouveaux espaces de l'angoisse /,"Boëton, Quentin 1980?-....",Hoëbeke,Lieux imaginaires--Dans l'art; Lieux imaginaires--Dans les jeux vidéo; Angoisse--Dans l'art; Angoisse--Dans les jeux vidéo,9782073033833; 2073033830,9782073033833,
824,Dans le ventre de Klara : roman /,"Jauffret, Régis",Récamier,"Roman psychologique; Roman français; Hitler, Adolf",9782385770570; 2385770571,9782385770570,https://covers.openlibrary.org/b/id/14593485-M.jpg?default=false
825,Le carton de mon père : réflexions sur l'héritage /,"Bärfuss, Lukas 1971-....",Zoé,,9782889073481; 2889073483,9782889073481,
826,L'inconnue du portrait : roman /,"Peretti, Camille de",Calmann-Lévy,"Klimt, Gustav; Roman français",9782702185179; 2702185177,9782702185179,
827,La fantaisie des dieux : Rwanda 1994 /,"Saint-Exupéry, Patrick de",Les Arènes,Bandes dessinées,9782352043201; 2352043204,9782352043201,https://covers.openlibrary.org/b/id/14589235-M.jpg?default=false
828,Une singularité : roman /,"Hauser, Bastien",Actes sud,,9782330189518; 2330189516,9782330189518,
829,Ainsi pleurent nos hommes : roman /,"Celis, Dominique",Philippe Rey,,9782848769592; 2848769599,9782848769592,
830,Mahmoud ou la montée des eaux : roman /,"Wauters, Antoine, 1981-",Verdier,Syrie; Roman belge de langue française,9782378561123; 2378561121,9782378561123,https://covers.openlibrary.org/b/id/11380182-M.jpg?default=false
831,Sous la menace /,"Almendros, Vincent",Minuit,Littérature française; Roman; Adolescence; Secrets de famille; Suicide,9782707349439; 2707349437,9782707349439,
832,Le chant du genévrier : roman /,"Scheer, Regina 1950-....",Actes Sud,Roman allemand--2000-....,9782330187033; 2330187033,9782330187033,
833,La manche : roman /,"De Paz, Max",Editions Gallimard,,9782073035509; 2073035507,9782073035509,
834,"Nucléus : ce qui reste, quand il n'y a plus rien /","Polimenova-Snel, Zinaida, 1974-",les Éditions du Chemin de fer,,9782490356416; 2490356410,9782490356416,
835,48 indices sur la disparition de ma soeur : roman /,"Oates, Joyce Carol, 1938-",Philippe Rey,Thriller (roman),9782384820740; 2384820745,9782384820740,
836,Le ciel ouvert /,"Mathieu, Nicolas, 1978-",Actes Sud,Amants; Roman,9782330185497; 2330185499,9782330185497,
837,Rosigny Zoo /,"Wary, Chloé",Editions FLBLB,Bandes dessinées,9782357613478; 2357613475,9782357613478,
838,Reine : roman /,"Guéna, Pauline",Denoël,,2207181081; 9782207181089,2207181081,
839,Le nom sur le mur /,"Le Tellier, Hervé",Gallimard,Guerre mondiale (1939-1945)--Mouvements de résistance; Roman biographique,2073061532; 9782073061539,2073061532,
840,Je ne suis pas un héros /,"Ambler, Eric",Editions de l'Olivier,,9782823620948; 282362094X,9782823620948,
841,Le masque de Dimitrios /,"Ambler, Eric",Editions de l'Olivier,,9782823620955; 2823620958,9782823620955,
842,Les vies rêvées de la baronne d'Oettingen : roman /,"Snégaroff, Thomas",Albin Michel,,9782226485892; 2226485899,9782226485892,
843,Les règles du mikado : roman /,"De Luca, Erri, 1950-",Gallimard,Roman; Roman italien,9782073060587; 2073060587,9782073060587,
844,La fileuse de verre : roman /,"Chevalier, Tracy, 1962-",La Table ronde,Féminisme; Roman historique américain; Art du verre,9791037113368,9791037113368,
845,Le barman du Ritz : roman /,"Collin, Philippe, 1975-",Albin Michel,France--1940-1945 (Occupation allemande)--Roman,9782226479938; 2226479937,9782226479938,
846,La place /,"Ernaux, Annie",Gallimard,,9782070700486; 2070700488,9782070700486,https://covers.openlibrary.org/b/id/3949712-M.jpg?default=false
847,De braves et honnêtes meurtriers : roman /,"Schulze, Ingo",Fayard,Roman allemand,9782213720715; 2213720711,9782213720715,
848,Le roman de Jim : roman/,"Bailly, Pierric",POL,,9782818052396; 2818052394,9782818052396,https://covers.openlibrary.org/b/id/14840600-M.jpg?default=false
849,Du Fuji à l'Athos par l'Amérique /,"Germain-Thomas, Olivier",Gallimard,"Asie; États-Unis; Athos, Mont (Grèce); [Récits de voyages]",9782072982705; 2072982707,9782072982705,
850,"Terrasses, ou, Notre long baiser si longtemps retardé : récit /","Gaudé, Laurent, 1972-",Actes sud,Attentats du 13 novembre 2015 (France); Roman social; Roman; Récits personnels,9782330189143; 2330189141,9782330189143,
851,La route /,"Larcenet, Manu",Dargaud,Dystopies; Fin du monde; Bandes dessinées de science-fiction; Bandes dessinées,2205208152; 9782205208153,2205208152,https://covers.openlibrary.org/b/id/15137132-M.jpg?default=false
852,Leçons : roman /,"McEwan, Ian 1948-....",Gallimard,Roman anglais,9782072988585; 2072988586,9782072988585,
853,Les silences /,"Brunoni, Luca, 1982-",Editions Finitude,Littérature suisse de langue italienne,9782363391797; 2363391799,9782363391797,
854,La traversée /,"Statovci, Pajtim",Buchet-Chastel,,9782283032312; 2283032318,9782283032312,https://covers.openlibrary.org/b/id/8807196-M.jpg?default=false
855,Je vais entrer dans un pays /,"Marie, Guillaume, 1990-",Éditions Corti,Benoît-Joseph Labre--saint--1748-1783,9782714313096; 2714313094,9782714313096,
856,Le syndrome de l'Orangerie /,"Bouillier, Grégoire",Flammarion,"Peinture; Roman français; Monet, Claude.--""Les nymphéas""",9782080445742; 208044574X,9782080445742,
857,Le premier homme /,"Camus, Albert",Gallimard,,2070738272; 9782070738274,2070738272,https://covers.openlibrary.org/b/id/14434985-M.jpg?default=false
858,Que reviennent ceux qui sont loin : roman /,"Adrian, Pierre",Gallimard NRF,Roman français,9782072989681; 207298968X,9782072989681,
859,L'attentat : roman /,"Khadra, Yasmina",Julliard,,2260016936; 9782260016939,2260016936,https://covers.openlibrary.org/b/id/7237481-M.jpg?default=false
860,Nord sentinelle : contes de l'indigène et du voyageur : roman /,"Ferrari, Jérôme 1968-....",Actes Sud,,9782330194413; 2330194412,9782330194413,
861,Un nouveau sentiment de la nature /,"Collot, Michel 1952-....",Editions Corti,Nature (esthétique); Écocritique; Philosophy of nature.; Nature (Aesthetics); Nature and civilization.; Nature in literature.; Philosophie de la nature--2000-....; Nature et culture--2000-....; Nature (esthétique).; Écocritique.; Nature--Effets de l'homme--Dans la littérature.; Art et écologie.,2714312799; 9782714312792,2714312799,
862,L'intimité : roman /,"Ferney, Alice",Actes sud,,9782330139308; 2330139306,9782330139308,
863,Slow vélo : 30 échappées à vélo en France : en famille /,"Florin, Bérangère, 19..-.....",Arthaud,Cyclotourisme--France; Circuits touristiques; Guides touristiques et de visite; Lenteur.,9782080243010; 2080243012,9782080243010,https://covers.openlibrary.org/b/id/11093693-M.jpg?default=false
864,"Maison de jour, maison de nuit /","Tokarczuk, Olga",Les Éditions Noir sur Blanc,,9782882506962; 2882506961,9782882506962,
865,Sur les ossements des morts /,"Tokarczuk, Olga",Les Ed Noir sur Blanc,,9782882502605; 2882502605,9782882502605,
866,Cosmétique de l'ennemi : roman /,"Nothomb, Amélie, 1966-",Albin Michel,Littérature française; Roman,2226126570; 9782226126573; 2226127267; 9782226127266,2226126570,https://covers.openlibrary.org/b/isbn/2226127267-M.jpg?default=false
867,Barbe bleue : roman /,"Nothomb, Amélie, 1966-",Albin Michel,Roman sentimental français; Contes détournés,9782226242969; 2226242961,9782226242969,https://covers.openlibrary.org/b/id/7257659-M.jpg?default=false
868,La nostalgie heureuse : roman /,"Nothomb, Amélie, 1966-",Albin Michel,,9782226249685; 2226249680,9782226249685,https://covers.openlibrary.org/b/isbn/9782226249685-M.jpg?default=false
869,Frappe-toi le coeur : roman /,"Nothomb, Amélie, 1966-",Albin Michel,Littérature française; Roman,9782226399168; 222639916X,9782226399168,https://covers.openlibrary.org/b/id/10953447-M.jpg?default=false
870,Hiver à Sokcho /,"Dusapin, Élisa Shua, 1992-",Zoé,Corée du Sud,9782889273416; 2889273415,9782889273416,
871,Premier sang : roman /,"Nothomb, Amélie, 1966-",Albin Michel,Roman français,9782226465382; 2226465383,9782226465382,https://covers.openlibrary.org/b/isbn/2226465383-M.jpg?default=false
872,Vers la violence : roman /,"Rinkel, Blandine",Fayard,,9782213722122; 2213722129,9782213722122,
873,Sa préférée : roman /,"Jollien-Fardel, Sarah 1971-....",Sabine Wespieser éditeur,Violence familiale; Roman suisse de langue française,9782848054568; 2848054565,9782848054568,https://covers.openlibrary.org/b/id/14703812-M.jpg?default=false
874,Berlin et ses environs : 2022/23 /,"Gloaguen, Philippe",Hachette,Berlin (Allemagne); Guides touristiques et de visite,9782017171980; 2017171980,9782017171980,
875,Berlin et ses environs : 2023/2024 /,,Hachette,Berlin (Allemagne); Guides touristiques et de visite,9782017221838; 201722183X,9782017221838,
876,Pourquoi le patriarcat ? /,"Gilligan, Carol",Flammarion,Patriarcat (sociologie),9782080255648; 2080255649,9782080255648,
877,Le muguet rouge /,"Bobin, Christian",Gallimard,[Roman],9782072855559; 2072855551,9782072855559,
878,La bibliothèque des rêves secrets : roman /,"Aoyama, Michiko 1970-....",Nami,Roman japonais,2493816021; 9782493816023,2493816021,
879,Psychopompe : roman /,"Nothomb, Amélie, 1966-",Albin Michel,Roman,9782226485618; 2226485619,9782226485618,
880,Fragments d'une montagne : les Alpes et leurs métamorphoses /,"Nova, Nicolas 1977-....",Le Pommier,Montagnes--Alpes.; Changements climatiques--Alpes.,9782746526693; 2746526697,9782746526693,
881,Comprendre la révolution woke /,"Valentin, Pierre 1998-....",Gallimard,Wokisme; Idéologie; Changement social; 2000-....,9782072997488; 2072997488,9782072997488,
882,Ecotopia : notes personnelles et articles de William Weston /,"Callenbach, Ernest 1929-2012",Gallimard,Écologisme; Écologie humaine--Dans la littérature; Nature--Protection--Dans la littérature; Utopies; Science-fiction,9782072872549; 2072872545,9782072872549,https://covers.openlibrary.org/b/id/8261185-M.jpg?default=false
883,"Grandir informés : les pratiques informationnelles des enfants, adolescents et jeunes adultes /","Cordier, Anne",C & F éditions,Enquêtes; Culture de l'information--Jeunesse--France--2000-....; Recherche de l'information; Jeunes internautes; Éducation aux médias,9782376620655; 2376620651,9782376620655,
884,Réenchanter le monde : l'Europe et la beauté /,"Barilier, Étienne 1947-....",PUF,Beau (esthétique)--Dans l'art; Beau (esthétique)--Dans la littérature; Art européen; Littérature européenne,9782130855781; 2130855784,9782130855781,
885,La Chasse au Cerf /,"Debluë, Romain",Editions de l'Aire,,9782889562695; 2889562697,9782889562695,
886,Psychologie du sport /,"Cox, Richard H., 1941-",De Boeck,Sports; Psychologie; Cognition; Performance (sports); Motivation (psychologie); Entraînement mental; Psychology,9782804171063; 280417106X,9782804171063,
887,Le banquet des Empouses : roman d'épouvante naturopathique /,"Tokarczuk, Olga",Editions Noir sur Blanc,Roman fantastique,9782882508669; 2882508662,9782882508669,
888,L'existence écologique : critique existentielle de la croissance et anthropologie de l'après-croissance /,"Arnsperger, Christian",Seuil,Anthropologie économique; Capitalisme--Aspect environnemental; Écologie humaine; Transition écologique; Économie de l'environnement; Politique de l'environnement,9782021397802; 2021397807,9782021397802,
889,Francia : roman /,"Huston, Nancy, 1953-",Actes Sud,Roman,9782330188764; 2330188765,9782330188764,
890,Green : aménager de petits espaces extérieurs /,"Maria, Ula architecte paysagiste 19..-....",Eyrolles,Design urbain; Jardins en milieu urbain,9782416008313; 2416008315,9782416008313,
891,Ce qui a lieu : essai d'écopoétique /,"Schoentjes, Pierre",Wildproject,Écocritique; Nature; Environnement; Littérature; Espace; Littérature française; 20e siècle (fin)-21e siècle (début); France,9782918490425; 2918490423,9782918490425,
892,Nous nous verrons en août : roman /,"García Márquez, Gabriel, 1927-2014‏",Bernard Grasset,Roman colombien; Roman,9782246836322; 2246836328,9782246836322,
893,"Cinq femmes : Sur la scène intérieure, II : faits /","Cohen, Marcel",Gallimard,,9782073036384; 2073036384,9782073036384,
894,Western : roman /,"Pourchet, Maria 1980-....",Stock,Roman,9782234094901; 2234094909,9782234094901,
895,"Vous, les ancêtres : roman /","Bessora, 1968-",JC Lattès,,9782709670692; 2709670690,9782709670692,
896,Wabi Sabi : trouver la beauté dans l'imperfection /,"Vidaling, Raphaële",Éditions Gallimard,Arts décoratifs--Japon.; Manuels d'amateurs.,9782073033758; 207303375X,9782073033758,
897,La pittura in Italia /,,Electa,peinture italienne--19e s.,8843535609; 9788843535606,8843535609,
898,La pittura di paesaggio in Italia /,,Electa,paysage--peinture italienne,9788837022822; 8837022824; 9788837028657; 8837028652; 9788843557462; 8843557467,9788837022822,
899,"La fortuna di Paestum e la memoria moderna del dorico, 1750-1830 /",,Centro Di,temple grec--Paestum (Italie)--[catalogue d'exposition]; art occidental--Paestum (Italie)--1750 / 1830--[catalogue d'exposition]; architecture grecque antique--architecture occidentale--ordre dorique--1750 / 1830--[catalogue d'exposition],8870381242; 9788870381245,8870381242,
900,Exposer pour exporter : culture visuelle et expansion commerciale en Suisse (1908-1939) /,"Debluë, Claire-Lise, 1983-",Éditions Alphil - Presses universitaires suisses,Expositions internationales; Communication visuelle; Commerce extérieur - Promotion; Politique commerciale; Art; Chambres de commerce; État; Architecture suisse; 20e siècle (1re moitié); SUISSE; ARCHIVES; HISTOIRE; Suisse,9782889300488; 288930048X,9782889300488,
901,"Les Suisses dans le miroir : les expositions nationales suisses : de Zurich 1883 à l'ex-future expo tessinoise de 1998, en passant par Genève 1896, Berne 1914, Zurich 1939, Lausanne 1964 et l'échec de CH-91 /",,Payot,Exposition nationale suisse--* sociologie; Exposition nationale suisse--[études diverses]; identité nationale--Exposition nationale suisse--Suisse--1883 / 1998--[études diverses],2601031018; 9782601031010,2601031018,
902,"Apologie pour l'histoire, ou, Métier d'historien /","Bloch, Marc, 1886-1944",Dunod,Historiens; Histoire (discipline),9782100807451; 2100807455,9782100807451,
903,Douze leçons sur l'histoire /,"Prost, Antoine",Ed du Seuil,histoire (discipline),9782757820643; 2757820648,9782757820643,https://covers.openlibrary.org/b/id/963941-M.jpg?default=false
904,14/18 : la Suisse et la Grande Guerre /,,Hier und jetzt,Guerre mondiale (1914-1918); Suisse; [Études diverses],9783039193424; 3039193422,9783039193424,https://covers.openlibrary.org/b/id/12648921-M.jpg?default=false
905,"La guerre secrète en Suisse, 1914-1918 : espionnage, propagande et influence en pays neutre pendant la Grande Guerre /","Lahaie, Olivier",Connaissances et savoirs,Guerre mondiale (1914-1918)--Suisse; Espionnage suisse--1900-1939; Politique et gouvernement--Suisse--1900-1939; Propagande--Suisse--1900-1939,9782753905306; 2753905304; 9782753905313; 2753905312; 9782753905320; 2753905320,9782753905306,
906,Les shrapnels du mensonge : la Suisse face à la propagande allemande de la Grande Guerre /,"Elsig, Alexandre, 1982-",Antipodes,Propagande--Suisse--1900-1945; Élite (sciences sociales)--Suisse--1900-1945; Guerre mondiale (1914-1918)--Opinion publique suisse; Thèses et écrits académiques,9782889011094; 2889011097,9782889011094,
907,Les images en guerre (1914-1945) : de la Suisse à l'Europe /,,Ed Antipodes,Guerre--Dans les médias--Suisse--1900-1945; Guerre--Dans les médias--Europe--1900-1945; guerre - image--Europe--Suisse--1914 / 1945--[congrès]; guerre--* iconographie--Europe--Suisse--1914 / 1945--[congrès]; communication de masse--guerre--Europe--Suisse--1914 / 1945--[congrès]; guerre--photographie--Europe--Suisse--1914 / 1945--[congrès]; GUERRE MONDIALE II; EUROPE; SUISSE; PROPAGANDE; GUERRE MONDIALE I,9782940146888; 2940146888,9782940146888,
908,La Suisse de l'entre-deux-guerres /,"Ruffieux, Roland, 1921-",Payot,Suisse--1918-1945; Front national (Suisse); Grève générale (Suisse ; 1918); Crise économique (1929)--Suisse; Geschichte; Schweizergeschichte; Suisse--1914 / 1940; Schweiz,9782601003673; 2601003677,9782601003673,
909,Réinventer la ville /,"Ledoux, Nicolas",Le Cherche midi,Écologie urbaine; Villes--Aspect environnemental,9782749171869; 2749171865,9782749171869,
910,La raison et la colère : un hommage philosophico-politique à Jacques Bouveresse /,"Monod, Jean-Claude",Seuil,"Bouveresse, Jacques",9782021509021; 2021509028,9782021509021,https://covers.openlibrary.org/b/id/13218573-M.jpg?default=false
911,Ennui : l'ombre de la modernité /,"Lapeyronnie, Didier",Rue de Seine,Ennui--Modernité.; Ennui--Dans l'art.; Ennui--Dans la littérature.,9782493270214; 2493270215,9782493270214,
912,Le capitalisme est-il moral? : sur quelques ridicules et tyrannies de notre temps /,"Comte-Sponville, André",Albin Michel,capitalisme--* morale,2226142207; 9782226142207,2226142207,https://covers.openlibrary.org/b/id/975824-M.jpg?default=false
913,Le mirage des longues études : pourquoi tout le monde ne doit pas aller à l'université et en quoi l'apprentissage est bénéfique /,"Strahm, Rudolf H",Slatkine,Enseignement supérieur; Universités; Apprentissage; Formation professionnelle; Suisse,9782832107300; 2832107303,9782832107300,
914,Les moments et leurs hommes /,"Goffman, Erving",Minuit; Seuil,"Goffman, Erving; interaction sociale--langage--[études diverses]",2020099845; 9782020099844,2020099845,https://covers.openlibrary.org/b/isbn/2020099845-M.jpg?default=false
915,Internet rend-il bête ? : réapprendre à lire et à penser dans un monde fragmenté /,"Carr, Nicholas",R Laffont,Internet--* neuropsychologie; Internet--* psychologie; cognition--Internet--* physiologie; Internet--* sociologie,9782221124437; 222112443X,9782221124437,
916,"Formuler une problématique : dissertation, mémoire, thèse, rapport de stage /","Frécon, Guy",Dunod,"Méthodologie.; Rédaction de rapports, notes et comptes rendus.; Travail intellectuel--Méthodologie.; Guides pratiques; Thèses et écrits académiques.",9782100845729; 2100845721,9782100845729,
917,L'économie de l'attention : nouvel horizon du capitalisme ? /,,la Découverte,Attention; Économie politique; Économie numérique; Valeur; Sociologie,9782707178701; 2707178705,9782707178701,https://covers.openlibrary.org/b/id/13676955-M.jpg?default=false
918,"Sortir des conflits : comprendre, gérer et transformer les affrontements en épisodes constructifs /","Carré, Christophe",Editions Eyrolles,Conflit (psychologie); Communication non verbale,9782212571547; 2212571542,9782212571547,
919,Psychologie de la motivation /,,Sciences humaines éditions,Motivation (psychologie),2361066432; 9782361066437,2361066432,
920,Les ambitions inavouées : ce que préparent les grandes puissances /,"Gomart, Thomas",Tallandier,Relations internationales--2000-....; Relations extérieures--France--2000-....,9791021056114,9791021056114,
921,Postures médiatiques : chronique de l'imposture ordinaire /,"Perrin, André, enseignant",L'Artilleur,Journalisme--France; Espace public (science politique); Culture dominante; Désinformation,9782810011322; 281001132X,9782810011322,
922,"Manuel de la grande transition : former pour transformer : climat, écologie, éthique, santé, économie, droit, démocratie, énergie, agriculture, arts... /",,Les liens qui libèrent,Transition écologique; Transition énergétique; Changement social; Évolution sociale,9791020909060,9791020909060,
923,Le déclin de l'institution /,"Dubet, François, 1946-",Ed du Seuil,institution sociale (organisme à caractère social)--France--21e s. (début); institutions--lien social--modernité - crise--France--20e s. (fin) / 21e s. (début),2020551632; 9782020551632,2020551632,https://covers.openlibrary.org/b/id/3071731-M.jpg?default=false
924,Nous sommes les réseaux sociaux /,"Abiteboul, Serge",O Jacob,Réseaux sociaux (Internet); Société numérique,9782415001704; 2415001708,9782415001704,https://covers.openlibrary.org/b/isbn/9782415001704-M.jpg?default=false
925,Le beau et la splendeur du vrai : entretiens /,"Changeux, Jean-Pierre",O Jacob; Albin Michel,"Entretiens; Changeux, Jean-Pierre; Cerveau--Recherche; Neurosciences",9782226476784; 2226476784,9782226476784,
926,La fabrique des émotions /,"Quéré, Louis",Presses Universitaires de France/Humensis,Émotions; Relations humaines; Comportement collectif; Sociologie; Interaction sociale,9782130829072; 2130829074,9782130829072,
927,Apprendre de la vie quotidienne /,,Presses universitaires de France,apprentissage (psychologie)--comportement social--[études diverses]; apprentissage (psychologie)--éducation informelle--vie quotidienne--[études diverses],9782130572077; 2130572073,9782130572077,
928,Descartes au pays du qi gong : les neurosciences et les arts énergétiques taoïstes /,"Tsiang, Henri",InterEditions,Qi gong; Taoïsme; Philosophie et neurosciences,9782729622602; 2729622608,9782729622602,
929,Guide du chasseur-cueilleur égaré au 21e siècle : [apprendre de nos ancêtres Homo sapiens pour relever les défis de la vie moderne] /,"Weinstein, Bret",Thierry Souccar Editions,Anthropologie; Homme--Évolution--2000-....,9782365495639; 236549563X,9782365495639,
930,Les impardonnables /,"Campo, Cristina 1923-1977",Gallimard,Roman italien.,9782073014924; 2073014925,9782073014924,
931,Rédiger efficacement à l'ère du digital : techniques de communication écrite /,"Wauters, Frédéric 19..-2023",De Boeck Supérieur,Coréen (langue); Art d'écrire; Communication dans les organisations; Entreprises--Relations publiques et Internet; Communication écrite.; Technologies de l'information et de la communication.; Guides pratiques.,9782807337725; 2807337724,9782807337725,
932,Penser les situations paradoxales : comment faire resurgir d'insoupçonnées énergies /,"Martin, Philippe",Editions Saint Honoré,,9782407024186; 2407024184,9782407024186,
933,Retour sur la réflexivité /,"Bourdieu, Pierre",Editions de l'Ecole des hautes études en sciences sociales,Sociologie--Recherche; Sociologie--Méthodologie,9782713229145; 2713229146,9782713229145,
934,Introduction à Howard S. Becker /,"Masson, Philippe, sociologue",La Découverte,,9782348044885; 2348044889,9782348044885,
935,Méditations pascaliennes /,"Bourdieu, Pierre",Ed du Seuil,,9782757851531; 2757851535,9782757851531,https://covers.openlibrary.org/b/id/3701624-M.jpg?default=false
936,"Ecrire les sciences sociales : [commencer et terminer son article, sa thèse ou son livre] /","Becker, Howard Saul, 1928-",Economica,Thèses et écrits académiques; [Guides pratiques et mémentos],9782717848519; 2717848517,9782717848519,
937,Comment les écrans nous transforment et nous révèlent à nous-même /,"Pasquinelli, Elena",Odile Jacob,Technologies de l'information et de la communication--Aspect psychologique; Médias numériques--Aspect psychologique; Dépendance à Internet; Société numérique; Psychologie du développement; Informatique--Aspect cognitif.,9782415002466; 2415002461,9782415002466,
938,Ma grammaire : pour apprendre la français /,"Defrance, Charlotte",CLE International,Grammaire française; Manuels pour allophones,9782090389890; 2090389893,9782090389890,https://covers.openlibrary.org/b/id/13974409-M.jpg?default=false
939,L'art rhétorique : petit manuel pour un usage éclairé de la parole /,"Dross, Juliette",Armand Colin,Rhétorique; Discours (art oratoire),9782200635183; 2200635184,9782200635183,
940,Rédigez vite et bien avec le Mind Mapping : la méthode MapWriting /,"Delengaigne, Xavier",Dunod,Cartes heuristiques; Art d'écrire--Méthodologie,9782100811045; 2100811045,9782100811045,
941,Logicomix /,"Doxiadēs, Apostolos K",Vuibert,"logique formelle--mathématiques - fondements--Russell, Bertrand--[bande dessinée]; Bandes dessinées",9782711743513; 2711743519,9782711743513,https://covers.openlibrary.org/b/isbn/9782711743513-M.jpg?default=false
942,682 jours /,"Bachelot-Narquin, Roselyne 1946-....",Plon,Politique et gouvernement--France; Politique culturelle--France--2000-....,9782259314657; 2259314651,9782259314657,
943,Sociologie générale /,"Bourdieu, Pierre",Raisons d'agir/Seuil,,9782757874073; 2757874071; 9782757874080; 275787408X,9782757874073,https://covers.openlibrary.org/b/id/13493376-M.jpg?default=false
944,Apprendre vite et bien : les meilleures techniques des neurosciences pour booster son cerveau /,"Oakley, Barbara A., 1955-",First editions,Travail intellectuel--Méthodologie; Neurosciences cognitives; Psychologie de l'apprentissage; Guides pratiques,9782412066812; 2412066817,9782412066812,
945,L'orthographe en cartes mentales : Une méthode claire et efficace /,"Wuilliet, Patricia, 1957-",Ellipses 2022,Orthographe française,9782340074996; 2340074991,9782340074996,
946,Agenda des compétences : outils et techniques d'apprentissage /,"Maurer, Hanspeter",Loisirs et pédagogie,Apprentissage; Technique; Méthodologie; [Guides pratiques et mémentos],9782606015978; 2606015975,9782606015978,
947,Les rites d'interaction /,"Goffman, Erving",Edition de Minuit,Interaction sociale; Rites et cérémonies; Sociologie du quotidien,9782707300225; 2707300225,9782707300225,https://covers.openlibrary.org/b/id/3117939-M.jpg?default=false
